price,balance,btc,action,netBalance
34047,47349.51986588658,0,None,47349.51986588658
36860,47349.51986588658,0,Sell,47349.51986588658
39486,47349.51986588658,0,None,47349.51986588658
40670,47349.51986588658,0,Sell,47349.51986588658
40241,47349.51986588658,0,Sell,47349.51986588658
38240,47349.51986588658,0,None,47349.51986588658
35545,47349.51986588658,0,None,47349.51986588658
34012,47349.51986588658,0,None,47349.51986588658
37393,47349.51986588658,0,Sell,47349.51986588658
39158,47349.51986588658,0,None,47349.51986588658
36829,47349.51986588658,0,Sell,47349.51986588658
36065,47349.51986588658,0,None,47349.51986588658
35793,47349.51986588658,0,Sell,47349.51986588658
36632,0,1.2925726104467836,Buy,47349.51986588658
36020,46558.465428293144,0,Sell,46558.465428293144
35539,46558.465428293144,0,None,46558.465428293144
30798,46558.465428293144,0,None,46558.465428293144
33002,46558.465428293144,0,Sell,46558.465428293144
32100,0,1.45041948374745,Buy,46558.465428293144
32277,0,1.45041948374745,None,46815.189676916445
32243,0,1.45041948374745,None,46765.87541446903
32542,0,1.45041948374745,Buy,47199.55084010952
30419,0,1.45041948374745,Buy,44120.31027611368
33403,48448.362015616076,0,Sell,48448.362015616076
34314,48448.362015616076,0,None,48448.362015616076
34318,48448.362015616076,0,None,48448.362015616076
33136,48448.362015616076,0,Sell,48448.362015616076
33523,48448.362015616076,0,None,48448.362015616076
35530,48448.362015616076,0,Sell,48448.362015616076
37676,48448.362015616076,0,Sell,48448.362015616076
37002,48448.362015616076,0,Sell,48448.362015616076
38279,48448.362015616076,0,Sell,48448.362015616076
39323,48448.362015616076,0,None,48448.362015616076
38928,0,1.2445633481200185,Buy,48448.362015616076
46364,0,1.2445633481200185,None,57702.935072236534
46590,0,1.2445633481200185,None,57984.20638891166
44878,0,1.2445633481200185,Buy,55853.51393693019
48013,0,1.2445633481200185,None,59755.220033286445
47471,0,1.2445633481200185,Buy,59080.6666986054
47185,58724.72158104307,0,Sell,58724.72158104307
48720,58724.72158104307,0,None,58724.72158104307
47952,58724.72158104307,0,None,58724.72158104307
49160,58724.72158104307,0,Sell,58724.72158104307
52118,0,1.126764679785162,Buy,58724.72158104307
51608,0,1.126764679785162,None,58150.071594352645
55917,0,1.126764679785162,None,63005.30059954691
56001,0,1.126764679785162,None,63099.94883264886
