Trained,Price,TextBlobPol,VaderPol,DictPol,TecAction,Best,Worst
1,8703,-1,-1,1,1,-1,1
-1,8626,-1,-1,-1,1,1,-1
1,8722,1,0,0,0,-1,1
1,8659,-1,0,0,1,-1,1
-1,8388,1,0,0,1,1,-1
-1,8428,-1,-1,0,1,-1,1
0,8327,1,1,0,1,1,-1
0,8588,-1,-1,0,1,1,-1
1,8896,1,1,0,1,1,-1
-1,9386,-1,-1,0,1,-1,1
-1,9280,1,-1,0,1,1,-1
0,9502,-1,0,0,-1,-1,1
1,9334,-1,0,0,0,1,-1
0,9378,-1,-1,0,1,-1,1
1,9315,-1,0,0,1,-1,1
-1,9285,1,0,0,1,-1,1
1,9162,-1,0,0,1,1,-1
0,9615,-1,0,0,1,1,-1
1,9756,-1,0,0,-1,1,-1
0,9808,-1,-1,0,1,1,-1
0,9907,-1,-1,0,1,-1,1
0,10162,-1,-1,-1,1,1,-1
1,9855,-1,0,-1,1,-1,1
-1,10275,-1,0,0,-1,1,-1
1,10354,-1,0,0,1,-1,1
0,10242,-1,0,0,-1,1,-1
-1,10369,-1,0,0,1,1,-1
0,9904,1,-1,0,1,1,-1
1,9938,-1,0,1,1,-1,1
0,9704,-1,-1,0,1,-1,1
1,10181,-1,0,1,1,1,-1
1,9605,-1,1,0,1,1,-1
1,9607,-1,0,0,1,1,-1
1,9697,-1,0,1,1,-1,1
1,9670,-1,-1,0,1,1,-1
1,9989,1,0,1,-1,-1,1
-1,9664,-1,-1,0,1,-1,1
1,9309,-1,1,0,1,-1,1
-1,8786,-1,0,0,-1,1,-1
1,8805,-1,0,0,1,-1,1
-1,8712,-1,-1,-1,-1,-1,1
1,8531,-1,0,0,0,1,-1
0,8534,-1,0,0,1,1,-1
1,8913,-1,1,0,1,-1,1
1,8754,-1,0,1,1,1,-1
1,8759,-1,0,0,1,1,-1
1,9067,1,1,0,1,1,-1
1,9156,-1,0,0,1,-1,1
-1,8899,-1,-1,0,-1,-1,1
-1,8039,-1,0,0,-1,-1,1
-1,7932,-1,-1,-1,-1,-1,1
-1,7885,-1,-1,0,-1,1,-1
-1,7937,-1,-1,-1,1,-1,1
0,4830,-1,1,0,-1,1,-1
-1,5609,-1,-1,0,-1,-1,1
0,5166,1,1,0,-1,1,-1
-1,5348,-1,0,0,-1,-1,1
1,5026,-1,-1,0,1,1,-1
1,5358,-1,0,0,-1,1,-1
1,5410,-1,0,0,1,1,-1
1,6195,-1,0,0,-1,1,-1
-1,6226,-1,0,0,-1,-1,1
0,6190,-1,0,0,-1,-1,1
0,5823,-1,0,0,-1,1,-1
1,6502,-1,0,-1,-1,1,-1
1,6768,1,1,0,-1,-1,1
0,6698,-1,0,0,-1,1,-1
1,6764,-1,0,0,-1,-1,1
1,6369,-1,1,-1,-1,-1,1
0,6261,-1,-1,0,-1,-1,1
1,5885,1,1,0,-1,1,-1
1,6405,-1,0,0,1,1,-1
-1,6428,-1,-1,0,1,1,-1
1,6653,-1,1,0,1,1,-1
1,6809,-1,0,0,1,-1,1
1,6742,1,1,0,-1,1,-1
1,6872,1,-1,0,1,-1,1
1,6777,-1,-1,0,1,1,-1
1,7343,1,0,-1,1,-1,1
1,7206,-1,0,0,-1,1,-1
-1,7365,1,1,1,-1,-1,1
-1,7294,-1,0,1,1,-1,1
1,6873,-1,0,1,-1,1,-1
-1,6892,-1,0,0,1,1,-1
1,6915,-1,0,1,1,-1,1
1,6858,-1,1,1,-1,1,-1
-1,6872,-1,0,0,-1,-1,1
1,6624,-1,1,0,1,1,-1
1,7112,-1,1,0,1,-1,1
0,7035,-1,-1,-1,1,1,-1
-1,7259,-1,-1,-1,-1,-1,1
1,7130,1,1,0,1,-1,1
0,6840,-1,0,0,1,1,-1
1,6853,-1,0,0,-1,1,-1
1,7131,-1,0,-1,1,1,-1
0,7478,-1,1,0,1,1,-1
1,7507,-1,-1,0,-1,1,-1
0,7550,-1,-1,0,1,1,-1
1,7699,-1,1,0,1,1,-1
1,7791,-1,0,0,-1,-1,1
0,7765,-1,0,0,-1,1,-1
1,8778,-1,0,0,-1,-1,1
1,8629,-1,1,0,1,1,-1
1,8825,-1,-1,0,1,1,-1
1,8974,1,1,1,1,-1,1
1,8904,-1,0,1,-1,-1,1
0,8886,1,1,0,0,1,-1
1,9031,1,1,0,1,1,-1
0,9171,-1,-1,0,1,-1,1
-1,10002,-1,-1,0,1,1,-1
-1,9822,-1,-1,0,-1,-1,1
1,9527,-1,1,0,1,-1,1
1,8754,1,0,1,-1,-1,1
-1,8617,-1,-1,0,1,1,-1
1,8815,-1,0,0,1,1,-1
1,9306,-1,1,0,0,1,-1
1,9790,-1,0,0,-1,-1,1
-1,9304,-1,0,0,1,1,-1
1,9386,-1,-1,0,-1,1,-1
1,9669,-1,0,0,1,1,-1
0,9719,-1,0,0,-1,1,-1
1,9786,-1,1,0,-1,-1,1
-1,9511,-1,-1,0,1,-1,1
1,9058,-1,-1,0,1,1,-1
0,9167,-1,-1,0,1,1,-1
0,9178,1,1,0,1,-1,1
-1,8731,-1,-1,-1,-1,1,-1
1,8900,-1,1,0,1,-1,1
-1,8843,-1,0,0,-1,1,-1
-1,9198,1,-1,0,1,1,-1
1,9569,-1,0,0,1,-1,1
1,9426,-1,-1,0,-1,1,-1
-1,9698,-1,1,1,0,-1,1
1,9451,-1,0,0,1,-1,1
1,10204,-1,-1,0,1,1,-1
-1,9526,-1,0,0,1,1,-1
0,9658,-1,0,1,1,1,-1
1,9795,-1,0,0,1,-1,1
-1,9624,1,-1,0,1,1,-1
-1,9670,-1,0,0,1,1,-1
1,9754,-1,0,0,1,1,-1
1,9783,-1,1,0,-1,-1,1
1,9775,-1,0,0,-1,1,-1
1,9892,-1,-1,0,-1,-1,1
-1,9286,-1,0,0,1,1,-1
0,9460,-1,0,0,1,1,-1
1,9474,-1,0,0,1,-1,1
1,9330,-1,0,0,-1,1,-1
1,9427,1,1,0,1,1,-1
1,9526,-1,0,0,1,-1,1
1,9455,-1,1,0,1,-1,1
-1,9380,-1,0,0,1,-1,1
0,9300,-1,1,0,1,1,-1
1,9357,-1,0,0,-1,-1,1
