date,action,Price
2021-04-28,-1,55071
2021-04-29,1,54884
2021-04-30,-1,53584
2021-05-01,-1,57797
2021-05-02,0,57858
2021-05-03,1,56610
2021-05-04,1,57213
2021-05-05,1,53242
2021-05-06,1,57473
2021-05-07,-1,56428
2021-05-08,1,57380
2021-05-09,-1,58929
2021-05-10,1,58281
2021-05-11,1,55884
2021-05-12,-1,56750
2021-05-13,-1,49007
2021-05-14,-1,49702
2021-05-15,-1,49923
2021-05-16,-1,46737
2021-05-17,-1,46442
2021-05-18,-1,43596
2021-05-19,-1,42912
2021-05-20,-1,36964
2021-05-21,-1,40784
2021-05-22,-1,37280
2021-05-23,-1,37528
2021-05-24,-1,34755
2021-05-25,-1,38729
2021-05-26,-1,38411
2021-05-27,-1,39266
2021-05-28,-1,38445
2021-05-29,-1,35690
2021-05-30,-1,34648
2021-05-31,-1,35685
2021-06-01,-1,37311
2021-06-02,-1,36663
2021-06-03,-1,37585
2021-06-04,-1,39189
2021-06-05,-1,36886
2021-06-06,-1,35530
2021-06-07,-1,35816
2021-06-08,-1,33515
2021-06-09,-1,33450
2021-06-10,-1,37338
2021-06-11,-1,36705
2021-06-12,-1,37313
2021-06-13,-1,35495
2021-06-14,-1,39067
2021-06-15,0,40526
2021-06-16,-1,40189
2021-06-17,-1,38325
2021-06-18,-1,38068
2021-06-19,-1,35730
2021-06-20,-1,35524
2021-06-21,-1,35592
2021-06-22,-1,31687
2021-06-23,-1,32448
2021-06-24,-1,33675
2021-06-25,-1,34639
2021-06-26,-1,31641
2021-06-27,-1,32161
2021-06-28,-1,34644
2021-06-29,1,34457
2021-06-30,-1,35848
2021-07-01,-1,35047
2021-07-02,-1,33537
2021-07-03,-1,33857
2021-07-04,-1,34689
2021-07-05,-1,35309
2021-07-06,-1,33748
2021-07-07,0,34211
2021-07-08,-1,33839
2021-07-09,-1,32877
2021-07-10,-1,33819
2021-07-11,-1,33516
2021-07-12,-1,34228
2021-07-13,-1,33158
2021-07-14,-1,32687
2021-07-15,-1,32815
2021-07-16,-1,31739
2021-07-17,-1,31421
2021-07-18,-1,31521
2021-07-19,-1,31783
2021-07-20,-1,30816
2021-07-21,-1,29790
2021-07-22,-1,32118
2021-07-23,-1,32298
2021-07-24,-1,33582
2021-07-25,-1,34279
2021-07-26,-1,35365
2021-07-27,-1,37318
2021-07-28,-1,39406
2021-07-29,-1,40003
2021-07-30,-1,40006
2021-07-31,-1,42214
2021-08-01,1,41659
2021-08-02,-1,40000
2021-08-03,-1,39194
2021-08-04,-1,38138
2021-08-05,1,39750
2021-08-06,-1,40882
2021-08-07,1,42826
2021-08-08,-1,44634
2021-08-09,1,43816
2021-08-10,1,46333
2021-08-11,-1,45608
2021-08-12,-1,45611
2021-08-13,1,44418
2021-08-14,1,47834
2021-08-15,1,47112
2021-08-16,-1,47056
2021-08-17,-1,45983
2021-08-18,-1,44649
2021-08-19,0,44778
2021-08-20,1,46735
2021-08-21,-1,49328
2021-08-22,-1,48932
2021-08-23,1,49336
2021-08-24,1,49524
2021-08-25,-1,47745
2021-08-26,-1,48972
2021-08-27,-1,46963
2021-08-28,1,49057
2021-08-29,-1,48898
2021-08-30,-1,48807
2021-08-31,-1,47075
2021-09-01,-1,47156
2021-09-02,-1,48863
2021-09-03,-1,49329
2021-09-04,-1,50035
2021-09-05,-1,49947
2021-09-06,-1,51769
2021-09-07,-1,52677
2021-09-08,-1,46809
2021-09-09,-1,46078
2021-09-10,-1,46369
2021-09-11,-1,44847
2021-09-12,-1,45145
2021-09-13,-1,46059
2021-09-14,-1,44969
2021-09-15,-1,47072
2021-09-16,-1,48168
2021-09-17,-1,47785
2021-09-18,-1,47264
2021-09-19,-1,48259
2021-09-20,-1,47249
2021-09-21,0,42902
2021-09-22,-1,40619
2021-09-23,-1,43605
2021-09-24,-1,44889
2021-09-25,-1,42816
2021-09-26,-1,42742
2021-09-27,-1,43183
2021-09-28,-1,42238
2021-09-29,-1,41011
2021-09-30,-1,41522
2021-10-01,-1,43758
2021-10-02,-1,48140
2021-10-03,1,47727
2021-10-04,-1,48206
2021-10-05,-1,49144
2021-10-06,1,51506
2021-10-07,1,55344
2021-10-08,-1,53801
2021-10-09,-1,53867
2021-10-10,-1,55123
2021-10-11,-1,54626
2021-10-12,-1,57452
2021-10-13,-1,56243
2021-10-14,1,57407
2021-10-15,1,57398
2021-10-16,1,61641
2021-10-17,1,60949
2021-10-18,1,61546
2021-10-19,1,61972
2021-10-20,1,64288
2021-10-21,1,66064
2021-10-22,1,62355
2021-10-23,-1,60697
2021-10-24,1,61277
2021-10-25,0,60884
2021-10-26,1,63071
2021-10-27,-1,60345
2021-10-28,0,58538
2021-10-29,1,60587
2021-10-30,-1,62249
2021-10-31,-1,61731
2021-11-01,-1,61373
2021-11-02,1,61030
2021-11-03,1,63241
2021-11-04,1,62955
2021-11-05,-1,61442
2021-11-06,-1,61072
2021-11-07,-1,63293
2021-11-08,1,67562
2021-11-09,1,66954
2021-11-10,0,64977
2021-11-11,1,64839
2021-11-12,-1,64255
2021-11-13,-1,64421
2021-11-14,-1,65469
2021-11-15,1,63584
2021-11-16,-1,60172
2021-11-17,1,60381
2021-11-18,-1,56921
2021-11-19,-1,58133
2021-11-20,-1,59778
2021-11-21,1,58756
2021-11-22,-1,56302
2021-11-23,1,57578
2021-11-24,-1,57188
2021-11-25,-1,58935
2021-11-26,-1,53588
2021-11-27,-1,54801
2021-11-28,-1,57292
2021-11-29,1,57828
2021-11-30,1,57026
2021-12-01,1,57230
2021-12-02,1,56508
2021-12-03,-1,53714
2021-12-04,-1,49254
2021-12-05,-1,49380
2021-12-06,-1,50565
2021-12-07,-1,50645
2021-12-08,-1,50511
2021-12-09,-1,47660
2021-12-10,-1,47137
2021-12-11,-1,49380
2021-12-12,-1,50117
2021-12-13,-1,46757
2021-12-14,-1,48393
2021-12-15,-1,48885
2021-12-16,-1,47658
2021-12-17,-1,46174
2021-12-18,-1,46864
2021-12-19,-1,46689
2021-12-20,-1,46910
2021-12-21,1,48935
2021-12-22,0,48628
2021-12-23,-1,50786
2021-12-24,-1,50815
2021-12-25,-1,50471
2021-12-26,0,50801
2021-12-27,-1,50692
2021-12-28,-1,47601
2021-12-29,-1,46409
2021-12-30,-1,47133
2021-12-31,-1,46250
2022-01-01,1,47763
2022-01-02,1,47328
2022-01-03,-1,46442
2022-01-04,-1,45863
2022-01-05,1,43436
2022-01-06,-1,43121
2022-01-07,-1,41528
2022-01-08,-1,41691
2022-01-09,-1,41864
2022-01-10,-1,41849
2022-01-11,0,42723
2022-01-12,-1,43926
2022-01-13,1,42546
2022-01-14,1,43099
2022-01-15,-1,43147
2022-01-16,-1,43102
2022-01-17,-1,42248
2022-01-18,-1,42381
2022-01-19,-1,41708
2022-01-20,-1,40684
2022-01-21,-1,36481
2022-01-22,-1,35071
2022-01-23,-1,36281
2022-01-24,-1,36679
2022-01-25,-1,36949
2022-01-26,-1,36824
2022-01-27,-1,37147
2022-01-28,-1,37770
2022-01-29,-1,38186
2022-01-30,-1,37919
2022-01-31,-1,38522
2022-02-01,0,38740
2022-02-02,-1,36913
2022-02-03,-1,37092
2022-02-04,-1,41584
2022-02-05,1,41435
2022-02-06,-1,42451
2022-02-07,-1,43834
2022-02-08,-1,44133
2022-02-09,-1,44397
2022-02-10,-1,43531
2022-02-11,-1,42401
2022-02-12,-1,42246
2022-02-13,-1,42105
2022-02-14,-1,42581
2022-02-15,-1,44536
2022-02-16,-1,43949
2022-02-17,-1,40566
2022-02-18,-1,40015
2022-02-19,1,40115
2022-02-20,-1,38382
2022-02-21,-1,37031
2022-02-22,-1,38262
2022-02-23,-1,37291
2022-02-24,-1,38345
2022-02-25,-1,39223
2022-02-26,-1,39104
2022-02-27,1,37705
2022-02-28,0,43226
2022-03-01,1,44419
2022-03-02,-1,43935
2022-03-03,-1,42464
2022-03-04,-1,39141
2022-03-05,-1,39400
2022-03-06,0,38408
2022-03-07,-1,38033
2022-03-08,1,38753
2022-03-09,-1,41957
2022-03-10,-1,39438
2022-03-11,-1,38741
2022-03-12,-1,38809
2022-03-14,-1,37820
2022-03-15,-1,39681
2022-03-16,-1,39321
2022-03-17,-1,41133
2022-03-18,-1,40947
2022-03-19,-1,41796
2022-03-20,-1,42222
2022-03-21,-1,41251
2022-03-22,-1,41071
2022-03-23,-1,42373
2022-03-24,-1,42905
2022-03-25,-1,44004
2022-03-26,-1,44334
2022-03-27,-1,44542
2022-03-28,1,46859
2022-03-29,-1,47116
2022-03-30,-1,47448
2022-03-31,-1,47064
2022-04-01,1,45539
2022-04-02,-1,46283
2022-04-03,-1,45825
2022-04-04,0,46426
2022-04-05,-1,46611
2022-04-06,-1,45508
2022-04-07,-1,43190
2022-04-08,-1,43464
2022-04-09,-1,42279
2022-04-10,-1,42788
2022-04-11,-1,42144
2022-04-12,-1,39489
2022-04-13,-1,40102
2022-04-14,-1,41148
2022-04-15,-1,39940
2022-04-16,-1,40566
2022-04-17,-1,40389
2022-04-18,-1,39711
2022-04-19,0,40806
2022-04-20,-1,41507
2022-04-21,-1,41376
2022-04-22,-1,40514
2022-04-23,-1,39728
2022-04-24,-1,39429
2022-04-25,-1,39466
2022-04-26,-1,40473
2022-04-27,1,38115
2022-04-28,1,39249
2022-04-29,-1,39770
2022-04-30,-1,38596
2022-05-01,-1,37661
2022-05-02,-1,38475
2022-05-03,-1,38511
2022-05-04,-1,37727
2022-05-05,-1,39675
2022-05-06,-1,36550
2022-05-07,-1,36013
2022-05-08,-1,35471
2022-05-09,-1,34082
2022-05-10,-1,30176
2022-05-11,-1,31004
2022-05-12,-1,28907
2022-05-13,-1,28931
2022-05-14,-1,29234
2022-05-15,-1,30075
2022-05-16,-1,31277
2022-05-17,-1,29834
2022-05-18,-1,30407
2022-05-19,-1,28681
2022-05-20,-1,30290
2022-05-21,-1,29160
2022-05-22,-1,29410
2022-05-23,-1,30279
2022-05-24,-1,29074
2022-05-25,-1,29635
2022-05-26,-1,29519
2022-05-27,-1,29194
2022-05-28,-1,28579
2022-05-29,-1,29014
2022-05-30,-1,29449
2022-05-31,-1,31716
2022-06-01,-1,31776
2022-06-02,-1,29781
2022-06-03,-1,30430
2022-06-04,-1,29682
2022-06-05,-1,29845
2022-06-06,-1,29901
2022-06-07,-1,31350
2022-06-08,-1,31118
2022-06-09,-1,30189
2022-06-10,-1,30083
2022-06-11,-1,29059
2022-06-12,-1,28345
2022-06-13,-1,26593
2022-06-14,-1,22431
2022-06-15,-1,22189
2022-06-16,-1,22551
2022-06-17,-1,20350
2022-06-18,-1,20435
2022-06-19,-1,18978
2022-06-20,1,20540
2022-06-21,-1,20582
2022-06-22,-1,20704
2022-06-23,-1,19954
