,date,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
29,2022-06-07 01:55:40,K_U_trade,小生はとてもおそろしいビ！の養分悪魔だお！,,105,53,1548,1,"#BTC Derivs Sheet (Tweet every 15 min.)
CME Delayed (10 min)
GS Delayed (15 min) and OI = SHARES OUT https://t.co/DLE7rSXXNE",['BTC']
30,2022-06-07 01:55:39,yaya22722772,"landscaping expert, crypto investor, Gem 💎 Hunter, motivator, truth seeker & spreading consciousness to every human mind. 💪😉",,1744,288,1894,0,"Or even 16 k, I’m confident everything will drop soon from land to stocks and crypto. Life opportunities are around the corner. One token I’ve been holding since launch is $tru #truebit $btc $eth and I’m looking to stack more once it dips back to 10cents.",['truebit']
31,2022-06-07 01:55:39,0xyummy,"bismillah aja dulu, alhamdulillah kemudian.
@twitmeong suspend permenent!",City X,2042,533,27970,6078,"I will send $3,000 to someone that retweets and has followed myself ( @OfficialTravlad ) and @MuuInuOfficial in the next 24hrs with both notifications on. #BNB #BSC #BTC #ETH #USDT #Crypto #MuuInu",[]
32,2022-06-07 01:55:38,RealDNewsMag,"The Official Diversity News Magazine Twitter Page covering News, Entertainment, Events and More. For more information visit https://t.co/0dvo7FU9Hj","Hollywood, Los Angeles",1588,11419,93490,1,"""New York Clamps Down On Bitcoin Mining In Newly Passed Bill"" via @Forbes

Trending #bitcoin news with frequent shares and strong engagement across social media.

Social Insights: https://t.co/UZnID7fQxx $btc

Source👇https://t.co/GLHHY12BhX",['bitcoin']
33,2022-06-07 01:55:37,cptbalao,"xoge, reaper, xzillas, xumm",,220,103,281,0,WTF BTC,[]
34,2022-06-07 01:55:36,poggch,Simply that guy,Your Local Corner Store,240,69,1372,0,@GoochMalooch1 Help my meta mask wallet got hacked. My metamask wallet got hacked my btc is gone…,[]
35,2022-06-07 01:55:35,ZackAbnet,The smallest minority is the individual | 🇪🇹🇺🇲 | TXST Alum | All tribes disappoint me.,Ethiopia → U.S.A ,363,265,19747,0,"Every time Iv gotten a BTC is up by 5%  notification, I move a certain amount into USD coin. 

Folks this is gonna be a ugly year all around and we probably gonna see new lows. 

#BTC #Endgame","['BTC', 'Endgame']"
36,2022-06-07 01:55:34,DarrylWojt,,,1,1,18528,0,Whybddonhinestly thinningue. I honest. Don't. Dontgue. I k. Okay. Yib game. Don't ffickg care btc.  Nothing. I'm. Wwork.   Nothing. I. Work. Abit. Stonwatingyi retard along e btucb,[]
37,2022-06-07 01:55:33,jong_gabila,,,22,5,24,0,@lunc_community make @lunc great again and btc will go up🍻,[]
38,2022-06-07 01:55:31,HariKhat2,Raza,,237,21,435,6078,"I will send $3,000 to someone that retweets and has followed myself ( @OfficialTravlad ) and @MuuInuOfficial in the next 24hrs with both notifications on. #BNB #BSC #BTC #ETH #USDT #Crypto #MuuInu",[]
39,2022-06-07 01:55:30,YesYandexAlisa,고생 끝에 낙이 온다,,9,131,7,7945,"We are thrilled to announce that #KuCoinWallet WEBSITE IS NOW LIVE!🔥🔥🔥

We invite you to visit us at 👉 https://t.co/hzKUd4Ae3N 

We hope that you enjoy the fresh look and feel of our brand-new website.😜😜

@kucoincom @KCCOfficialTW 
$BTC $ETH $USDT $KCS #NFT #DeFi #crypto https://t.co/ChUUCggvUC",['KuCoinWallet']
40,2022-06-07 01:55:30,carladmh,Bass Guitar Piano ❤️,,4682,1319,67924,1470,"🎁 @DreamvilleDucky #NFTGiveaway 🎁 

I’ve teamed up with @DreamvilleDucky to giveaway 5 WL spots! Super cool multi-drop mechanic dropping soon...

Entry:

1) Follow @0xBreakdown + @DreamvilleDucky 🦆 
2) ❤️ + 🔁 
3) Tag 2 Frens

Ends in 48 HRS

$btc $eth $sol $usdt $ape $doge https://t.co/Ui9aOhOsBz",['NFTGiveaway']
41,2022-06-07 01:55:30,poggch,Simply that guy,Your Local Corner Store,240,69,1372,0,@GoochMalooch1 Help my meta mask wallet got hacked. My metamask wallet got hacked my btc is gone.,[]
42,2022-06-07 01:55:29,MURALIE622,Best discord group full of real traders join here https://t.co/l7lky0DJ0h,,0,145,7395,0,"Gift idea!
https://t.co/NINXxN9LGd
 $LTX $LCX $ZCX $VET $QNT $BTC $LINK $ETH $TEL $UNI $people https://t.co/RQn0knTsl8",[]
43,2022-06-07 01:55:29,Sue_CryptoAsset,🌸 Crypto assets will change global standard 🌸 $MMPRO 🍑 $MKP 🎮 $STEPN 👟 $FISHE 🎣,,41,2148,4535,0,"@nekoshima99 🐟🐠🐡🦈🐳🐬 🐟🐠🐡🦈🐳🐬 🎣

Fishing enthusiasts around the world take notice 👀✨

🐟🐠🐡🦈🐳🐬 🐟🐠🐡🦈🐳🐬 🎣

$FISHE #FISHE #BTC  #ETH #BNB  #Crypto #altcoin #memecoin #fish #fishing #token","['FISHE', 'BTC', 'ETH', 'BNB', 'Crypto', 'altcoin', 'memecoin', 'fish', 'fishing', 'token']"
44,2022-06-07 01:55:28,hfduirgbirt78g5,,,11,11095,58,209,"#Binance Card launches a new promotion for first time users! 

Sign up for #Binance Card from June 1st-30th to put yourself in the running to be 1/5 winners to receive 1 #BTC. 

Find out more ➡️ https://t.co/Se0d8PhOOP https://t.co/gwiGEkeLnA","['Binance', 'Binance']"
45,2022-06-07 01:55:28,hammack_debbie,God first in my life 🙏#MUFC fan,,1344,43,4111,780,"💸 $500 #Giveaway 💸

We'll select 5 winners randomly and award $100 to each account! 🤑🤑

Rules: 👇

1️⃣ Tag 3 friends
2️⃣ Must Like, Follow &amp; Retweet 
3️⃣ Ends 8th of May

Good luck 💚

#BTC  #Crypto #Contest #Casino #prize #Competition #luna https://t.co/grfx5U2dFF",['Giveaway']
46,2022-06-07 01:55:27,WhaleBotPumps,"@cryptowhalebot's friend
Showing your rekt'd crypto bags",moon,8,2254,129555,0,"💀ETHO/BTC is Dumping on Kucoin!📉
💸Price: 0.00000164 BTC (-9.01%)
📊24h Vol: 12 BTC
💹Last Vol: 28,214.59 (34.46%)
⬇Price: -0.00000007 BTC
🔴24h%: -15.35%
⬆Vol: 0.016 BTC

Spread: 1.363%
Bids &amp; Asks in 20% Range
Bids: 0 BTC
Asks: 0 BTC",[]
47,2022-06-07 01:55:26,genosdavillian,𝙟𝙪𝙨𝙩 𝙛𝙤𝙡𝙡𝙤𝙬 𝙢𝙚🛸☄️• 𝙢𝙖𝙞𝙣:@acelimelight• #dallasin,"Dallas, TX",392,491,2212,6078,"I will send $3,000 to someone that retweets and has followed myself ( @OfficialTravlad ) and @MuuInuOfficial in the next 24hrs with both notifications on. #BNB #BSC #BTC #ETH #USDT #Crypto #MuuInu",[]
48,2022-06-07 01:55:26,Marlborman888,"I like to share the positive information about crypto//
Make people dancing 😀 // Welcome Indodax Traders, Follow me for the next update",,12,343,1048,0,@BitcoinMagazine BTC is playing roller coaster now LOL,[]
