Date,Open,Volume,Market Cap
"Mar 07, 2022","$38,429.30","$28,546,143,503","$722,305,696,828"
"Mar 06, 2022","$39,404.20","$19,745,229,902","$729,062,407,067"
"Mar 05, 2022","$39,148.45","$16,975,917,450","$747,638,613,405"
"Mar 04, 2022","$42,458.14","$28,516,271,427","$742,617,908,335"
"Mar 03, 2022","$43,925.20","$24,967,782,593","$805,466,458,785"
"Mar 02, 2022","$44,357.62","$29,183,112,630","$833,361,543,695"
"Mar 01, 2022","$43,194.50","$32,479,047,645","$841,491,170,716"
"Feb 28, 2022","$37,706.00","$35,690,014,104","$819,414,782,676"
"Feb 27, 2022","$39,098.70","$23,450,127,612","$715,351,995,828"
"Feb 26, 2022","$39,213.08","$17,467,554,129","$741,789,694,059"
"Feb 25, 2022","$38,333.75","$26,545,599,159","$743,827,806,938"
"Feb 24, 2022","$37,278.57","$46,383,802,093","$727,072,550,320"
"Feb 23, 2022","$38,285.28","$21,849,073,843","$707,390,766,255"
"Feb 22, 2022","$37,068.77","$25,493,150,450","$726,121,533,658"
"Feb 21, 2022","$38,423.21","$29,280,402,798","$703,124,071,472"
"Feb 20, 2022","$40,118.10","$18,340,576,452","$728,812,385,562"
"Feb 19, 2022","$40,026.02","$13,736,557,863","$760,839,429,984"
"Feb 18, 2022","$40,552.13","$23,310,007,704","$759,074,084,514"
"Feb 17, 2022","$43,937.07","$26,246,662,813","$768,654,436,207"
"Feb 16, 2022","$44,578.28","$19,792,547,657","$833,531,932,920"
"Feb 15, 2022","$42,586.46","$22,721,659,051","$845,117,683,687"
"Feb 14, 2022","$42,157.40","$20,827,783,012","$807,375,855,006"
"Feb 13, 2022","$42,236.57","$14,741,589,015","$799,950,408,997"
"Feb 12, 2022","$42,412.30","$18,152,390,304","$800,797,790,301"
"Feb 11, 2022","$43,571.13","$26,954,925,781","$803,848,273,503"
"Feb 10, 2022","$44,347.80","$32,142,048,537","$825,745,116,530"
"Feb 09, 2022","$44,096.70","$23,245,887,300","$840,369,284,541"
"Feb 08, 2022","$43,854.65","$33,079,398,868","$836,154,543,908"
"Feb 07, 2022","$42,406.78","$28,641,855,926","$830,838,884,165"
"Feb 06, 2022","$41,441.12","$16,142,097,334","$803,744,511,638"
"Feb 05, 2022","$41,501.48","$19,652,846,215","$785,297,889,648"
"Feb 04, 2022","$37,149.26","$29,412,210,792","$786,396,684,548"
"Feb 03, 2022","$36,944.81","$18,591,534,769","$704,010,232,687"
"Feb 02, 2022","$38,743.71","$19,155,189,416","$700,155,817,836"
"Feb 01, 2022","$38,481.77","$20,288,500,328","$734,039,224,255"
"Jan 31, 2022","$37,920.28","$20,734,730,465","$729,073,641,688"
"Jan 30, 2022","$38,151.92","$14,643,548,444","$718,325,967,803"
"Jan 29, 2022","$37,780.71","$17,194,183,075","$722,469,136,410"
"Jan 28, 2022","$37,128.44","$22,238,830,523","$715,731,622,071"
"Jan 27, 2022","$36,841.88","$25,041,426,629","$703,456,873,493"
"Jan 26, 2022","$36,950.51","$31,324,598,034","$698,006,361,956"
"Jan 25, 2022","$36,654.81","$26,428,189,594","$699,907,393,886"
"Jan 24, 2022","$36,275.73","$41,856,658,597","$694,196,560,317"
"Jan 23, 2022","$35,047.36","$26,017,975,951","$687,012,848,062"
"Jan 22, 2022","$36,471.59","$39,714,385,405","$663,374,008,017"
"Jan 21, 2022","$40,699.61","$43,011,992,031","$690,368,973,093"
"Jan 20, 2022","$41,744.03","$20,382,033,940","$770,304,579,439"
"Jan 19, 2022","$42,374.04","$23,091,543,258","$790,406,427,118"
"Jan 18, 2022","$42,250.07","$22,417,209,227","$802,313,747,480"
"Jan 17, 2022","$43,118.12","$21,690,904,261","$799,910,089,279"
"Jan 16, 2022","$43,172.04","$17,902,097,845","$816,211,499,221"
"Jan 15, 2022","$43,101.90","$18,371,348,298","$817,364,571,824"
"Jan 14, 2022","$42,598.87","$23,577,403,399","$815,850,639,036"
"Jan 13, 2022","$43,946.74","$47,691,135,082","$806,189,762,638"
"Jan 12, 2022","$42,742.18","$33,499,938,689","$831,836,978,396"
"Jan 11, 2022","$41,819.51","$26,327,648,900","$808,834,801,011"
"Jan 10, 2022","$41,910.23","$32,104,232,331","$791,484,886,194"
"Jan 09, 2022","$41,734.73","$21,294,384,372","$793,156,354,744"
"Jan 08, 2022","$41,561.47","$28,066,355,845","$789,758,782,727"
"Jan 07, 2022","$43,153.57","$84,196,607,520","$786,389,774,194"
"Jan 06, 2022","$43,565.51","$30,208,048,289","$816,685,390,313"
"Jan 05, 2022","$45,899.36","$36,851,084,859","$824,368,284,530"
"Jan 04, 2022","$46,458.85","$42,494,677,905","$868,383,282,082"
"Jan 03, 2022","$47,343.54","$33,071,628,362","$878,946,596,803"
"Jan 02, 2022","$47,680.93","$27,951,569,547","$895,688,387,523"
"Jan 01, 2022","$46,311.74","$24,582,667,004","$902,104,193,385"
"Dec 31, 2021","$47,169.37","$36,974,172,400","$875,939,356,679"
"Dec 30, 2021","$46,490.61","$26,686,491,018","$892,386,327,929"
