,Date,Price,Open,High,Low,Vol.,Change %
85,1647216000.0,"39,671.1","37,789.5","39,914.3","37,613.6",2.33B,4.97%
86,1647129600.0,"37,792.4","38,813.2","39,272.3","37,603.4",1.55B,-2.63%
87,1647043200.0,"38,814.3","38,730.2","39,355.3","38,666.5",1.11B,0.22%
88,1646956800.0,"38,730.2","39,422.5","40,177.0","38,236.4",2.79B,-1.74%
89,1646870400.0,"39,416.3","41,933.9","42,029.1","38,603.5",3.62B,-5.99%
90,1646784000.0,"41,929.0","38,731.5","42,538.5","38,663.3",3.60B,8.22%
91,1646697600.0,"38,744.8","38,020.6","39,351.5","37,886.6",2.67B,1.89%
92,1646611200.0,"38,024.8","38,420.6","39,532.0","37,182.1",3.02B,-0.99%
93,1646524800.0,"38,403.1","39,396.3","39,668.1","38,115.0",1.93B,-2.52%
94,1646438400.0,"39,395.8","39,142.8","39,600.2","38,626.1",1.50B,0.65%
95,1646352000.0,"39,142.7","42,463.0","42,848.7","38,594.9",3.21B,-7.82%
96,1646265600.0,"42,463.0","43,912.8","44,077.2","41,840.8",74.11K,-3.30%
97,1646179200.0,"43,912.8","44,420.3","45,294.2","43,361.3",80.82K,-1.14%
98,1646092800.0,"44,420.3","43,187.2","44,900.5","42,876.6",90.67K,2.85%
99,1646006400.0,"43,188.2","37,707.2","43,977.8","37,458.9",108.07K,14.59%
100,1645920000.0,"37,689.1","39,116.6","39,838.5","37,062.3",66.14K,-3.65%
101,1645833600.0,"39,115.5","39,221.6","40,094.5","38,639.1",41.55K,-0.24%
102,1645747200.0,"39,209.6","38,339.2","39,683.7","38,042.6",83.78K,2.27%
103,1645660800.0,"38,339.2","37,250.2","39,351.6","34,357.4",180.47K,2.99%
104,1645574400.0,"37,224.6","38,248.2","39,194.5","37,099.5",64.84K,-2.68%
105,1645488000.0,"38,248.2","37,018.3","38,414.9","36,399.6",82.75K,3.32%
106,1645401600.0,"37,017.7","38,355.0","39,444.1","36,868.9",91.82K,-3.49%
107,1645315200.0,"38,355.0","40,089.6","40,120.3","38,042.2",47.92K,-4.33%
108,1645228800.0,"40,090.3","40,000.1","40,434.3","39,666.6",25.78K,0.23%
109,1645142400.0,"40,000.1","40,532.5","40,935.5","39,505.0",64.96K,-1.36%
110,1645056000.0,"40,552.8","43,885.5","44,167.1","40,103.8",72.63K,-7.59%
111,1644969600.0,"43,883.6","44,540.9","44,552.9","43,377.6",41.40K,-1.48%
112,1644883200.0,"44,544.4","42,550.3","44,722.6","42,460.1",56.34K,4.69%
113,1644796800.0,"42,550.3","42,061.1","42,799.7","41,591.3",53.60K,1.16%
114,1644710400.0,"42,061.1","42,205.5","42,725.1","41,880.1",25.88K,-0.34%
115,1644624000.0,"42,205.2","42,388.4","43,006.4","41,776.8",37.88K,-0.43%
116,1644537600.0,"42,388.4","43,519.3","43,915.1","42,023.4",69.95K,-2.60%
117,1644451200.0,"43,521.0","44,388.9","45,755.2","43,242.5",89.69K,-1.96%
118,1644364800.0,"44,388.9","44,038.2","44,800.4","43,163.0",50.92K,0.80%
119,1644278400.0,"44,038.2","43,833.9","45,399.8","42,705.0",92.88K,0.47%
120,1644192000.0,"43,833.9","42,385.2","44,468.3","41,695.4",76.60K,3.40%
121,1644105600.0,"42,392.2","41,411.9","42,614.8","41,176.3",31.20K,2.37%
122,1644019200.0,"41,412.1","41,566.5","41,899.8","40,963.3",46.32K,-0.37%
123,1643932800.0,"41,567.6","37,287.8","41,689.0","37,041.1",95.49K,11.48%
124,1643846400.0,"37,287.8","36,890.2","37,304.3","36,297.3",50.35K,1.08%
125,1643760000.0,"36,890.2","38,711.2","38,853.8","36,682.3",53.74K,-4.70%
126,1643673600.0,"38,709.7","38,475.6","39,230.0","38,037.9",55.20K,0.55%
127,1643587200.0,"38,498.6","37,923.8","38,701.4","36,672.8",61.27K,1.53%
128,1643500800.0,"37,917.7","38,167.5","38,313.3","37,390.6",34.10K,-0.66%
129,1643414400.0,"38,170.8","37,736.5","38,663.7","37,350.2",42.77K,1.13%
130,1643328000.0,"37,745.1","37,195.6","37,995.9","36,176.5",69.45K,1.56%
131,1643241600.0,"37,164.3","36,800.1","37,215.4","35,543.2",83.52K,0.99%
132,1643155200.0,"36,800.4","36,962.3","38,862.6","36,280.0",107.87K,-0.41%
133,1643068800.0,"36,950.6","36,691.3","37,501.8","35,729.3",79.68K,0.72%
134,1642982400.0,"36,686.3","36,268.6","37,424.0","32,985.6",153.77K,1.15%
135,1642896000.0,"36,269.5","35,072.9","36,513.0","34,655.2",70.43K,3.40%
136,1642809600.0,"35,075.2","36,467.7","36,749.8","34,116.0",138.09K,-3.84%
137,1642723200.0,"36,475.5","40,698.1","41,104.6","35,503.9",155.80K,-10.41%
138,1642636800.0,"40,715.9","41,683.6","43,487.1","40,568.3",65.28K,-2.31%
139,1642550400.0,"41,677.8","42,365.3","42,558.0","41,160.9",53.77K,-1.62%
140,1642464000.0,"42,364.6","42,209.9","42,674.2","41,300.7",47.32K,0.37%
141,1642377600.0,"42,209.3","43,080.5","43,179.6","41,559.4",41.44K,-2.02%
