date,headline,source
2021-02-12T13:00:00Z,This Cryptocurrency Is Really Burning a Hole in My Pocket,Wired
2021-02-09T13:18:43Z,"Bitcoin Continues to Soar, Fueled by Tesla Announcement",New York Times
2021-02-26T00:40:52Z,Coinbase says unmasking Satoshi Nakamoto might harm its business,Mashable
2021-02-12T23:10:51Z,Daily Crunch: Jack Dorsey and Jay Z invest in bitcoin development,TechCrunch
2021-02-16T17:45:00Z,"Bitcoin Hit All-Time High at Over $50,000, Leaving Us in Dire Need of Sound Financial Advice",Gizmodo.com
2021-02-12T18:00:00Z,Miami May Start Paying City Employees in Bitcoin,Gizmodo.com
2021-02-13T05:43:00Z,Bitcoin Burning a Hole in Your Pocket? Now You Can Spend It Using Apple Pay,Gizmodo.com
2021-02-25T10:00:00Z,"Here's how you could win $8,000 in Bitcoin, investing classes, and more",Mashable
2021-02-08T23:27:07Z,Daily Crunch: DoorDash acquires Chowbotics,TechCrunch
2021-02-17T18:24:31Z,Crypto wallet and exchange company Blockchain.com raises $120 million,TechCrunch
2021-02-25T13:23:28Z,Coinbase files to go public in a key listing for the cryptocurrency category,TechCrunch
2021-02-23T14:50:21Z,"Elon Musk, Bill Gates and Janet Yellen are sending bitcoin tumbling",CNN
2021-02-08T23:19:09Z,"Impeachment Trial, Child Tax Credit, Bitcoin: Your Monday Evening Briefing",New York Times
2021-02-09T00:48:00Z,"Bitcoin extends gains above $47,000 in Asia - Reuters",Reuters
2021-02-09T00:43:00Z,"Bitcoin extends gains above $47,000 in Asia - Reuters",Reuters
date,headline,source
2021-03-24T08:29:16Z,Tesla now accepts Bitcoin in the US,Engadget
2021-03-24T08:10:09Z,"You can now buy a Tesla with Bitcoin, Elon Musk says",Mashable
2021-03-24T11:55:49Z,Elon Musk declares you can now buy a Tesla with Bitcoin in the U.S.,TechCrunch
2021-03-15T22:25:02Z,India will reportedly introduce bill to make owning cryptocurrency illegal,The Verge
2021-03-16T21:40:35Z,Teen hacker behind the big Twitter hack sentenced to 3 years in prison,Mashable
2021-03-03T19:10:57Z,Why bitcoin could triple over next year,CNN
2021-03-25T13:30:01Z,"Spinning out from the cryptocurrency hardware developer Bitfury, LiquidStack pitches a data center cooling tech",TechCrunch
2021-03-15T09:15:00Z,"India Looks to Criminalize Trading, Mining, and Holding Cryptocurrencies: Report",Gizmodo.com
2021-03-05T13:23:00Z,MicroStrategy buys 205 bitcoin for $10 million - Reuters,Reuters
2021-03-01T13:35:00Z,MicroStrategy bitcoin holding valued at $4.38 billion after latest buy - Reuters,Reuters
2021-03-02T10:51:00Z,Breakingviews - Capital Calls: China digs bitcoin hole - Reuters,Reuters
2021-03-23T20:23:00Z,"Bitcoin could cost 6 million Mexican pesos, but the fall will be brutal and will last for years, says cryptocurrency expert",Entrepreneur
2021-03-25T07:00:00Z,Asset Management Giant Fidelity Files For a Bitcoin ETF,Slashdot.org
2021-03-02T16:54:51Z,CBOE files for approval to list the first US bitcoin ETF,Business Insider
2021-03-13T11:54:00Z,"Bitcoin hits $60,000 in record high - Reuters",Reuters
