price,balance,btc,action,netBalance
10369,0,1.3622187478853451,Buy,14124.846196823144
9904,0,1.3622187478853451,Buy,13491.414479056459
9938,0,1.3622187478853451,Buy,13537.72991648456
9704,0,1.3622187478853451,Buy,13218.97072947939
10181,0,1.3622187478853451,Buy,13868.749072220699
9605,0,1.3622187478853451,Buy,13084.11107343874
9607,0,1.3622187478853451,Buy,13086.83551093451
9697,0,1.3622187478853451,Buy,13209.435198244191
9670,0,1.3622187478853451,Buy,13172.655292051288
9989,13607.203072626713,0,Sell,13607.203072626713
9664,0,1.4080301192701483,Buy,13607.203072626713
9309,0,1.4080301192701483,None,13107.35238028581
8786,0,1.4080301192701483,None,12370.952627907523
8805,0,1.4080301192701483,None,12397.705200173656
8712,12266.758399081533,0,Sell,12266.758399081533
8531,12266.758399081533,0,None,12266.758399081533
8534,12266.758399081533,0,None,12266.758399081533
8913,0,1.3762771680782602,Buy,12266.758399081533
8754,0,1.3762771680782602,None,12047.93032935709
8759,0,1.3762771680782602,None,12054.81171519748
9067,0,1.3762771680782602,None,12478.705082965585
9156,0,1.3762771680782602,Buy,12601.19375092455
8899,12247.490518728437,0,Sell,12247.490518728437
8039,0,1.523509207454713,Buy,12247.490518728437
7932,12084.475033530784,0,Sell,12084.475033530784
7885,12084.475033530784,0,Sell,12084.475033530784
7937,0,1.5225494561585968,Buy,12084.475033530784
4830,7353.913873246022,0,Sell,7353.913873246022
5609,0,1.3110917941248035,Buy,7353.913873246022
5166,6773.1002084487345,0,Sell,6773.1002084487345
5348,6773.1002084487345,0,Sell,6773.1002084487345
5026,0,1.3476124569137953,Buy,6773.100208448735
5358,7220.507544144115,0,Sell,7220.507544144115
5410,0,1.3346594351467864,Buy,7220.507544144115
6195,8268.215200734341,0,Sell,8268.215200734341
6226,8268.215200734341,0,Sell,8268.215200734341
6190,8268.215200734341,0,Sell,8268.215200734341
5823,8268.215200734341,0,Sell,8268.215200734341
6502,0,1.271641833395008,Buy,8268.215200734341
6768,8606.471928417413,0,Sell,8606.471928417413
6698,8606.471928417413,0,Sell,8606.471928417413
6764,8606.471928417413,0,Sell,8606.471928417413
6369,8606.471928417413,0,Sell,8606.471928417413
6261,8606.471928417413,0,Sell,8606.471928417413
5885,8606.471928417413,0,Sell,8606.471928417413
6405,0,1.3437114642337882,Buy,8606.471928417413
6428,0,1.3437114642337882,Buy,8637.37729209479
6653,0,1.3437114642337882,Buy,8939.712371547394
6809,9149.331359967864,0,Sell,9149.331359967864
6742,9149.331359967864,0,Sell,9149.331359967864
6872,9149.331359967864,0,Sell,9149.331359967864
6777,9149.331359967864,0,Sell,9149.331359967864
7343,9149.331359967864,0,Sell,9149.331359967864
7206,9149.331359967864,0,Sell,9149.331359967864
7365,9149.331359967864,0,Sell,9149.331359967864
7294,9149.331359967864,0,Sell,9149.331359967864
6873,9149.331359967864,0,Sell,9149.331359967864
6892,9149.331359967864,0,Sell,9149.331359967864
6915,0,1.323113717999691,Buy,9149.331359967864
6858,9073.913878041882,0,Sell,9073.913878041882
6872,9073.913878041882,0,Sell,9073.913878041882
6624,0,1.369854148255115,Buy,9073.913878041882
7112,0,1.369854148255115,Buy,9742.402702390378
7035,0,1.369854148255115,Buy,9636.923932974734
7259,9943.77126218388,0,Sell,9943.77126218388
7130,0,1.3946383256919888,Buy,9943.77126218388
6840,0,1.3946383256919888,None,9539.326147733203
6853,9557.456445967198,0,Sell,9557.456445967198
7131,0,1.340268748558014,Buy,9557.456445967198
7478,0,1.340268748558014,Buy,10022.529701716829
7507,0,1.340268748558014,Buy,10061.397495425012
7550,0,1.340268748558014,Buy,10119.029051613006
7699,10318.72909514815,0,Sell,10318.72909514815
7791,10318.72909514815,0,Sell,10318.72909514815
7765,10318.72909514815,0,Sell,10318.72909514815
8778,10318.72909514815,0,Sell,10318.72909514815
8629,0,1.1958198047454107,Buy,10318.729095148148
8825,0,1.1958198047454107,None,10553.10977687825
8974,0,1.1958198047454107,Buy,10731.286927785315
8904,10647.579541453137,0,Sell,10647.579541453137
8886,10647.579541453137,0,None,10647.579541453137
9031,0,1.1790033818462116,Buy,10647.579541453137
9171,0,1.1790033818462116,Buy,10812.640014911607
10002,0,1.1790033818462116,Buy,11792.391825225808
9822,11580.17121649349,0,Sell,11580.17121649349
9527,0,1.2155107816199737,Buy,11580.171216493489
8754,10640.58138230125,0,Sell,10640.58138230125
8617,0,1.2348359501336021,Buy,10640.58138230125
8815,0,1.2348359501336021,None,10885.078900427703
9306,0,1.2348359501336021,None,11491.383351943301
9790,12089.043951807966,0,Sell,12089.043951807966
9304,12089.043951807966,0,None,12089.043951807966
9386,12089.043951807966,0,Sell,12089.043951807966
9669,0,1.250288959748471,Buy,12089.043951807966
9719,0,1.250288959748471,Buy,12151.558399795389
9786,12235.327760098537,0,Sell,12235.327760098537
9511,0,1.2864396761748014,Buy,12235.327760098537
9058,0,1.2864396761748014,Buy,11652.570586791351
9167,0,1.2864396761748014,Buy,11792.792511494405
9178,0,1.2864396761748014,Buy,11806.943347932327
8731,11231.90481268219,0,Sell,11231.90481268219
8900,11231.90481268219,0,None,11231.90481268219
8843,11231.90481268219,0,Sell,11231.90481268219
9198,0,1.2211246806569027,Buy,11231.90481268219
9569,0,1.2211246806569027,Buy,11684.942069205903
9426,0,1.2211246806569027,None,11510.321239871964
9698,0,1.2211246806569027,Buy,11842.467153010643
9451,0,1.2211246806569027,None,11540.849356888388
10204,0,1.2211246806569027,Buy,12460.356241423035
9526,0,1.2211246806569027,Buy,11632.433707937655
9658,0,1.2211246806569027,Buy,11793.622165784367
9795,0,1.2211246806569027,None,11960.916247034362
9624,0,1.2211246806569027,Buy,11752.103926642032
9670,0,1.2211246806569027,Buy,11808.27566195225
9754,11910.85013512743,0,Sell,11910.85013512743
9783,11910.85013512743,0,Sell,11910.85013512743
9775,11910.85013512743,0,Sell,11910.85013512743
9892,11910.85013512743,0,Sell,11910.85013512743
9286,11910.85013512743,0,None,11910.85013512743
9460,11910.85013512743,0,None,11910.85013512743
9474,0,1.2572144960024731,Buy,11910.85013512743
9330,0,1.2572144960024731,None,11729.811247703074
9427,0,1.2572144960024731,None,11851.761053815315
9526,0,1.2572144960024731,Buy,11976.225288919559
9455,0,1.2572144960024731,None,11886.963059703383
9380,0,1.2572144960024731,None,11792.671972503198
9300,0,1.2572144960024731,None,11692.094812823001
9357,11763.756039095142,0,Sell,11763.756039095142
9285,11763.756039095142,0,None,11763.756039095142
9692,0,1.2137593932207122,Buy,11763.756039095144
9621,0,1.2137593932207122,Buy,11677.579122176472
9277,0,1.2137593932207122,None,11260.045890908548
9241,11216.350552752601,0,Sell,11216.350552752601
9154,0,1.2252950134097227,Buy,11216.350552752601
9004,0,1.2252950134097227,Buy,11032.556300741144
9127,0,1.2252950134097227,Buy,11183.26758739054
9185,0,1.2252950134097227,Buy,11254.334698168303
9134,0,1.2252950134097227,Buy,11191.844652484408
9236,11316.8247438522,0,Sell,11316.8247438522
9088,0,1.2452492015682437,Buy,11316.8247438522
9072,0,1.2452492015682437,Buy,11296.900756627107
9131,0,1.2452492015682437,Buy,11370.370459519634
9089,0,1.2452492015682437,Buy,11318.069993053767
9349,11641.834785461511,0,Sell,11641.834785461511
9256,11641.834785461511,0,None,11641.834785461511
9440,11641.834785461511,0,None,11641.834785461511
9238,11641.834785461511,0,Sell,11641.834785461511
9287,11641.834785461511,0,None,11641.834785461511
9236,11641.834785461511,0,Sell,11641.834785461511
9296,11641.834785461511,0,None,11641.834785461511
9238,11641.834785461511,0,Sell,11641.834785461511
9255,11641.834785461511,0,Sell,11641.834785461511
9194,0,1.2662426349207647,Buy,11641.834785461511
9131,0,1.2662426349207647,Buy,11562.061499461503
9154,0,1.2662426349207647,Buy,11591.18508006468
9175,0,1.2662426349207647,Buy,11617.776175398016
9215,0,1.2662426349207647,Buy,11668.425880794846
9164,0,1.2662426349207647,Buy,11603.847506413887
9393,0,1.2662426349207647,Buy,11893.817069810742
9537,0,1.2662426349207647,Buy,12076.156009239334
9613,0,1.2662426349207647,Buy,12172.39044949331
9551,0,1.2662426349207647,Buy,12093.883406128223
9708,0,1.2662426349207647,Buy,12292.683499810784
9939,0,1.2662426349207647,Buy,12585.18554847748
11042,0,1.2662426349207647,Buy,13981.851174795083
10935,0,1.2662426349207647,Buy,13846.363212858561
11103,0,1.2662426349207647,Buy,14059.09197552525
11115,0,1.2662426349207647,Buy,14074.2868871443
11344,14364.256450541156,0,Sell,14364.256450541156
11824,14364.256450541156,0,Sell,14364.256450541156
11078,0,1.296647088873547,Buy,14364.256450541154
11243,0,1.296647088873547,Buy,14578.20322020529
11194,0,1.296647088873547,Buy,14514.667512850487
11750,0,1.296647088873547,Buy,15235.603294264178
11773,0,1.296647088873547,Buy,15265.426177308269
11606,0,1.296647088873547,Buy,15048.886113466388
11768,0,1.296647088873547,Buy,15258.942941863901
11684,0,1.296647088873547,Buy,15150.024586398524
11893,15421.023827973095,0,Sell,15421.023827973095
11392,0,1.3536713332139303,Buy,15421.023827973095
11573,0,1.3536713332139303,Buy,15666.038339284816
11777,15942.187291260458,0,Sell,15942.187291260458
11774,0,1.3540162469220705,Buy,15942.187291260458
11874,16077.588915952665,0,Sell,16077.588915952665
11914,0,1.3494702800027418,Buy,16077.588915952667
12294,16590.387622353708,0,Sell,16590.387622353708
11970,0,1.3859972951005604,Buy,16590.387622353708
11734,0,1.3859972951005604,Buy,16263.292260709975
11866,16446.24390366325,0,Sell,16446.24390366325
11523,0,1.4272536582194957,Buy,16446.24390366325
11683,0,1.4272536582194957,Buy,16674.60448897837
11653,0,1.4272536582194957,Buy,16631.786879231782
11764,0,1.4272536582194957,Buy,16790.212035294146
11337,16180.774723234423,0,Sell,16180.774723234423
11467,0,1.41107305513512,Buy,16180.77472323442
11302,0,1.41107305513512,None,15947.947669137127
11535,0,1.41107305513512,Buy,16276.72769098361
11482,0,1.41107305513512,Buy,16201.940819061449
11708,0,1.41107305513512,Buy,16520.843329521984
11660,0,1.41107305513512,Buy,16453.1118228755
11923,0,1.41107305513512,Buy,16824.224036376036
11397,0,1.41107305513512,Buy,16081.999609374963
10188,0,1.41107305513512,Buy,14376.012285716602
10468,0,1.41107305513512,Buy,14771.112741154437
10160,0,1.41107305513512,Buy,14336.50224017282
10255,14470.554180410656,0,Sell,14470.554180410656
10368,0,1.3956938831414598,Buy,14470.554180410656
10122,0,1.3956938831414598,Buy,14127.213485157856
10228,0,1.3956938831414598,Buy,14275.157036770852
10353,0,1.3956938831414598,None,14449.618772163534
10395,0,1.3956938831414598,Buy,14508.237915255475
10446,0,1.3956938831414598,Buy,14579.41830329569
10331,14418.913506734421,0,Sell,14418.913506734421
10675,0,1.3507178929025219,Buy,14418.913506734421
10786,14568.843192846602,0,Sell,14568.843192846602
10948,0,1.3307310187108696,Buy,14568.843192846602
10944,0,1.3307310187108696,Buy,14563.520268771757
10932,0,1.3307310187108696,Buy,14547.551496547227
11081,0,1.3307310187108696,Buy,14745.830418335147
10920,0,1.3307310187108696,Buy,14531.582724322696
10430,0,1.3307310187108696,Buy,13879.524525154371
10532,0,1.3307310187108696,Buy,14015.259089062878
10234,0,1.3307310187108696,Buy,13618.70124548704
10732,0,1.3307310187108696,Buy,14281.405292805053
10693,0,1.3307310187108696,Buy,14229.506783075329
10732,0,1.3307310187108696,Buy,14281.405292805053
10774,14337.29599559091,0,Sell,14337.29599559091
10692,0,1.3409367747466245,Buy,14337.29599559091
10841,0,1.3409367747466245,None,14537.095575028157
10778,14452.616558219119,0,Sell,14452.616558219119
10619,0,1.3610148373876183,Buy,14452.616558219119
10575,0,1.3610148373876183,Buy,14392.731905374063
10552,0,1.3610148373876183,Buy,14361.428564114149
10673,0,1.3610148373876183,Buy,14526.11135943805
10789,14683.989080575015,0,Sell,14683.989080575015
10604,0,1.3847594380021704,Buy,14683.989080575015
10671,0,1.3847594380021704,Buy,14776.76796292116
10923,0,1.3847594380021704,Buy,15125.727341297707
11063,0,1.3847594380021704,Buy,15319.59366261801
11303,15651.935927738532,0,Sell,15651.935927738532
11377,15651.935927738532,0,None,15651.935927738532
11540,0,1.3563202710345348,Buy,15651.935927738532
11428,0,1.3563202710345348,Buy,15500.028057382664
11431,0,1.3563202710345348,Buy,15504.097018195767
11504,0,1.3563202710345348,Buy,15603.108397981288
11328,0,1.3563202710345348,None,15364.39603027921
11367,0,1.3563202710345348,None,15417.292520849556
11508,0,1.3563202710345348,Buy,15608.533679065426
11758,0,1.3563202710345348,Buy,15947.61374682406
11925,0,1.3563202710345348,Buy,16174.119232086827
12832,17404.30171791515,0,Sell,17404.30171791515
12990,0,1.3398230729726828,Buy,17404.30171791515
12945,0,1.3398230729726828,Buy,17344.009679631377
13128,0,1.3398230729726828,Buy,17589.19730198538
13037,0,1.3398230729726828,Buy,17467.273402344865
13076,0,1.3398230729726828,Buy,17519.5265021908
13651,0,1.3398230729726828,Buy,18289.924769150093
13289,0,1.3398230729726828,Buy,17804.90881673398
13459,0,1.3398230729726828,Buy,18032.678739139337
13565,0,1.3398230729726828,Buy,18174.69998487444
13810,0,1.3398230729726828,Buy,18502.956637752748
13759,0,1.3398230729726828,Buy,18434.625661031143
13575,0,1.3398230729726828,Buy,18188.09821560417
14023,0,1.3398230729726828,Buy,18788.33895229593
14156,0,1.3398230729726828,Buy,18966.535421001296
15591,0,1.3398230729726828,Buy,20889.1815307171
15596,0,1.3398230729726828,Buy,20895.88064608196
14840,0,1.3398230729726828,Buy,19882.974402914613
15491,0,1.3398230729726828,Buy,20755.19922341983
15329,0,1.3398230729726828,Buy,20538.147885598253
15317,0,1.3398230729726828,Buy,20522.07000872258
15709,0,1.3398230729726828,Buy,21047.280653327874
16296,0,1.3398230729726828,Buy,21833.756797162838
16339,0,1.3398230729726828,Buy,21891.369189300665
16091,0,1.3398230729726828,Buy,21559.093067203437
15968,0,1.3398230729726828,None,21394.294829227798
16725,0,1.3398230729726828,Buy,22408.54089546812
17680,0,1.3398230729726828,Buy,23688.07193015703
17798,23846.171052767808,0,Sell,23846.171052767808
17821,23846.171052767808,0,Sell,23846.171052767808
18687,23846.171052767808,0,Sell,23846.171052767808
18700,23846.171052767808,0,Sell,23846.171052767808
18422,0,1.2944398573861582,Buy,23846.171052767808
18399,0,1.2944398573861582,Buy,23816.398936047925
19173,0,1.2944398573861582,Buy,24818.29538566481
18740,24257.802927416604,0,Sell,24257.802927416604
17151,0,1.4143666799263368,Buy,24257.802927416604
17139,0,1.4143666799263368,Buy,24240.830527257487
17732,25079.549968453804,0,Sell,25079.549968453804
18192,0,1.378603230455904,Buy,25079.549968453804
19710,27172.269672285867,0,Sell,27172.269672285867
18793,27172.269672285867,0,Sell,27172.269672285867
19227,0,1.4132350170222014,Buy,27172.269672285867
19455,0,1.4132350170222014,Buy,27494.48725616693
18670,26385.097767804502,0,Sell,26385.097767804502
19155,0,1.3774522457741845,Buy,26385.097767804502
19378,0,1.3774522457741845,Buy,26692.269618612147
19181,0,1.3774522457741845,Buy,26420.91152619463
18319,0,1.3774522457741845,Buy,25233.547690337284
18554,25557.24896809422,0,Sell,25557.24896809422
18248,0,1.4005506887381751,Buy,25557.24896809422
18029,0,1.4005506887381751,Buy,25250.52836726056
18803,26334.55460034391,0,Sell,26334.55460034391
19164,0,1.3741679503414688,Buy,26334.55460034391
19277,0,1.3741679503414688,Buy,26489.835578732494
19440,0,1.3741679503414688,Buy,26713.824954638152
21379,0,1.3741679503414688,Buy,29378.33661035026
22847,31395.615161451537,0,Sell,31395.615161451537
23151,0,1.3561235005594374,Buy,31395.615161451537
23870,32370.66795835377,0,Sell,32370.66795835377
23491,0,1.37800297809177,Buy,32370.66795835377
22745,31342.677736697307,0,Sell,31342.677736697307
23825,31342.677736697307,0,Sell,31342.677736697307
23253,0,1.3478982383648264,Buy,31342.677736697307
23716,0,1.3478982383648264,None,31966.754621060223
24694,0,1.3478982383648264,None,33284.99909818102
26443,0,1.3478982383648264,Buy,35642.47311708111
26247,0,1.3478982383648264,Buy,35378.285062361596
27037,36443.12467066981,0,Sell,36443.12467066981
27376,0,1.331207067163567,Buy,36443.12467066981
28857,0,1.331207067163567,None,38414.64233713905
28983,38582.37442760166,0,Sell,38582.37442760166
29394,0,1.3125935370348254,Buy,38582.37442760166
32195,42258.9489248362,0,Sell,42258.9489248362
33001,42258.9489248362,0,None,42258.9489248362
32035,42258.9489248362,0,Sell,42258.9489248362
34047,42258.9489248362,0,None,42258.9489248362
36860,0,1.1464717559640858,Buy,42258.9489248362
39486,0,1.1464717559640858,Buy,45269.58375599789
40670,0,1.1464717559640858,Buy,46627.00631505937
40241,0,1.1464717559640858,None,46135.169931750774
38240,43841.07994806664,0,Sell,43841.07994806664
35545,0,1.2333965381366336,Buy,43841.07994806664
34012,41950.28305510318,0,Sell,41950.28305510318
37393,0,1.1218752989892007,Buy,41950.28305510318
39158,0,1.1218752989892007,None,43930.392957819124
36829,0,1.1218752989892007,Buy,41317.54538647327
36065,40460.43265804552,0,Sell,40460.43265804552
35793,0,1.1304007112576628,Buy,40460.43265804552
36632,0,1.1304007112576628,Buy,41408.8388547907
36020,0,1.1304007112576628,None,40717.03361950102
35539,0,1.1304007112576628,Buy,40173.31087738608
30798,0,1.1304007112576628,None,34814.0811053135
