Date,Open
"Aug 17, 2021","$45,936.46"
"Aug 16, 2021","$47,019.96"
"Aug 15, 2021","$47,096.67"
"Aug 14, 2021","$47,810.69"
"Aug 13, 2021","$44,439.69"
"Aug 12, 2021","$45,576.88"
"Aug 11, 2021","$45,599.70"
"Aug 10, 2021","$46,280.85"
"Aug 09, 2021","$43,791.93"
"Aug 08, 2021","$44,574.44"
"Aug 07, 2021","$42,832.80"
"Aug 06, 2021","$40,865.87"
"Aug 05, 2021","$39,744.51"
"Aug 04, 2021","$38,213.33"
"Aug 03, 2021","$39,178.40"
"Aug 02, 2021","$39,907.26"
"Aug 01, 2021","$41,460.84"
"Jul 31, 2021","$42,196.30"
"Jul 30, 2021","$40,027.48"
"Jul 29, 2021","$39,995.45"
"Jul 28, 2021","$39,503.19"
"Jul 27, 2021","$37,276.04"
"Jul 26, 2021","$35,384.03"
"Jul 25, 2021","$34,290.29"
"Jul 24, 2021","$33,593.73"
"Jul 23, 2021","$32,305.96"
"Jul 22, 2021","$32,138.87"
"Jul 21, 2021","$29,796.29"
"Jul 20, 2021","$30,838.29"
"Jul 19, 2021","$31,800.01"
"Jul 18, 2021","$31,533.88"
"Jul 17, 2021","$31,397.31"
"Jul 16, 2021","$31,841.55"
"Jul 15, 2021","$32,827.87"
"Jul 14, 2021","$32,723.85"
"Jul 13, 2021","$33,125.47"
"Jul 12, 2021","$34,254.02"
"Jul 11, 2021","$33,509.08"
"Jul 10, 2021","$33,811.24"
"Jul 09, 2021","$32,861.67"
"Jul 08, 2021","$33,889.61"
"Jul 07, 2021","$34,225.68"
"Jul 06, 2021","$33,723.51"
"Jul 05, 2021","$35,284.34"
"Jul 04, 2021","$34,665.56"
"Jul 03, 2021","$33,854.42"
"Jul 02, 2021","$33,549.60"
"Jul 01, 2021","$35,035.98"
"Jun 30, 2021","$35,908.39"
"Jun 29, 2021","$34,475.56"
"Jun 28, 2021","$34,679.12"
"Jun 27, 2021","$32,287.52"
"Jun 26, 2021","$31,594.66"
"Jun 25, 2021","$34,659.10"
"Jun 24, 2021","$33,682.80"
"Jun 23, 2021","$32,515.71"
"Jun 22, 2021","$31,622.38"
"Jun 21, 2021","$35,641.15"
"Jun 20, 2021","$35,563.14"
"Jun 19, 2021","$35,854.53"
"Jun 18, 2021","$38,099.48"
"Jun 17, 2021","$38,341.42"
"Jun 16, 2021","$40,168.69"
"Jun 15, 2021","$40,427.17"
"Jun 14, 2021","$39,016.97"
"Jun 13, 2021","$35,555.79"
"Jun 12, 2021","$37,340.14"
"Jun 11, 2021","$36,697.03"
"Jun 10, 2021","$37,389.52"
"Jun 09, 2021","$33,416.98"
"Jun 08, 2021","$33,589.52"
"Jun 07, 2021","$35,835.27"
"Jun 06, 2021","$35,538.61"
"Jun 05, 2021","$36,880.16"
"Jun 04, 2021","$39,242.49"
"Jun 03, 2021","$37,599.41"
"Jun 02, 2021","$36,699.92"
"Jun 01, 2021","$37,293.79"
"May 31, 2021","$35,658.59"
"May 30, 2021","$34,607.41"
"May 29, 2021","$35,684.16"
"May 28, 2021","$38,507.08"
"May 27, 2021","$39,316.89"
"May 26, 2021","$38,392.62"
"May 25, 2021","$38,795.78"
"May 24, 2021","$34,700.36"
"May 23, 2021","$37,531.45"
"May 22, 2021","$37,371.03"
"May 21, 2021","$40,596.95"
"May 20, 2021","$36,753.67"
"May 19, 2021","$42,944.98"
"May 18, 2021","$43,488.06"
"May 17, 2021","$46,415.90"
"May 16, 2021","$46,716.64"
"May 15, 2021","$49,855.49"
"May 14, 2021","$49,682.98"
"May 13, 2021","$49,735.43"
"May 12, 2021","$56,714.53"
"May 11, 2021","$55,847.24"
"May 10, 2021","$58,250.87"
"May 09, 2021","$58,877.39"
"May 08, 2021","$57,352.77"
"May 07, 2021","$56,413.95"
"May 06, 2021","$57,441.31"
"May 05, 2021","$53,252.16"
"May 04, 2021","$57,214.18"
"May 03, 2021","$56,620.27"
"May 02, 2021","$57,825.86"
"May 01, 2021","$57,714.66"
"Apr 30, 2021","$53,568.66"
"Apr 29, 2021","$54,858.09"
"Apr 28, 2021","$55,036.64"
"Apr 27, 2021","$54,030.30"
"Apr 26, 2021","$49,077.79"
